"hhnum","eventid","itemnum","bundlenum","bundletype","menugrp","nonschmealitem","itemdesc","itemdescsource","quantity","quantity_flag","size","size_flag","sizeunit","sizeunit_flag","sizerelative","gramstotal","additem_flag","itemcost","itemcost_flag","totitemcost","free","free_flag2","impitemcost","impcostmethod","imptotcost"
118155,62537,1,,,"GEN",-996,"BEAN AND RICE BURRITO WHITE TORTILLA CHICKEN ONIONS CILANTRO",6,1,0,1,6,"MEDIUM",0,,405,0,0,5,0,1,0,,-996,
118155,62539,3,,,"BEV",-996,"REGULAR SODA, ORANGE, CHERRY",6,1,6,,0,,0,,616,0,0,5,0,1,0,,-996,
118155,62539,1,,,"GEN",-996,"CHICKEN TAQUITOS",6,3,0,,0,,0,,768,0,0,5,0,1,0,,-996,
118155,62539,2,,,"GEN",-996,"BEANS RICE",6,1,6,,0,,0,,169,0,0,5,0,1,0,,-996,
118155,62540,1,,,"BEV",-996,"COFFEE",6,3,0,8,0,"OZ",1,,710.4,0,0,5,0,1,0,,-996,
118156,16387,2,,,"BEV",-996,"PEACH TEA",6,1,0,1,0,"MEDIUM",0,,474,0,0,0,0,0,0,,-996,
118156,16387,1,,,"GEN",-996,"TROPI CHOP WITH PORK",6,1,0,,0,,0,,398,0,5.29,0,5.29,0,0,,-996,
118156,16390,1,,,"BEV",-996,"COFFEE (OTHER OR UNKNOWN TYPE)",5,2,0,8,0,"OZ",1,,473.6,0,0,0,0,1,0,,-996,
118156,16393,3,,,"GEN",-996,"BUTTER",6,4,0,0.5,1,"OZ",1,,56.7,0,0.05,0,0.2,0,0,,-996,
118156,16393,1,,,"GEN",-996,"BAGEL",6,1,0,,0,,0,,87.7424617737003,0,0.76,0,0.76,0,0,,-996,
118156,16393,2,,,"BEV",-996,"COFFEE",6,1,0,16,0,"OZ",1,,473.6,0,0.34,0,0.34,0,0,,-996,
118156,16394,5,,,"GEN",-996,"PATTY MELT",6,1,0,1,0,,0,,307,0,0,0,0,0,0,4.7,5,4.7
118156,16394,1,,,"GEN",-996,"HAMBURGER PATTY",6,1,0,1,0,"MEDIUM",0,,81.7296610169489,0,,1,,0,0,2.81,1,2.81
118156,16394,7,,,"BEV",-996,"TEA, HOT (ANY FLAVOR)",5,1,0,,0,,0,,474,0,0,0,0,0,0,1.72,5,1.72
118156,16394,2,,,"GEN",-996,"COTTAGE CHEESE",6,1,0,8,1,"OZ",1,,226.8,0,0,0,0,0,0,,-996,
118156,16394,10,,,"GEN",-996,"GRITS",6,1,0,1,0,"MEDIUM",0,,242,0,0,0,0,0,0,1.72,5,1.72
118156,16394,8,,,"GEN",-996,"EGGS (INCLUDES HARD-BOILED, SCRAMBLED, OR POACHED)",5,1,1,2,5,"EACH",1,,100,0,0,0,0,0,0,5.84,5,5.84
118156,16394,4,,,"GEN",-996,"MIXED FRUIT",6,1,0,8,1,"OZ",1,,226.8,0,0,0,0,0,0,2.38,5,2.38
118156,16394,12,,,"BEV",-996,"COFFEE",6,2,0,1,0,"MEDIUM",0,,948,0,0,0,0,0,0,1.69,5,3.37
118156,16394,6,,,"GEN",-996,"FRENCH FRIES",5,1,0,1,0,"LARGE",0,,117,0,0,0,0,0,0,1.73,5,1.73
118156,16394,9,,,"GEN",-996,"BACON",5,1,1,2,5,"PIECE",1,,32,0,0,0,0,0,0,1.73,5,1.73
118156,16394,3,,,"GEN",-996,"TOMATO SLICE",6,1,0,1,6,"SLICE",2,,289,0,0,0,0,0,0,0.54,5,0.54
118156,16394,11,,,"GEN",-996,"TOAST",6,1,0,2,0,"SLICE",0,,27,0,0,0,0,0,0,1.73,5,1.73
118156,16395,2,,,"BEV",-996,"COFFEE (OTHER OR UNKNOWN TYPE)",5,1,0,16,0,"OZ",1,,473.6,0,0,0,0,1,0,,-996,
118156,16395,1,,,"GEN",-996,"TEXAS FRENCH TOAST",6,1,0,1,0,,0,,129.499020408163,0,0,0,0,1,0,,-996,
118156,16396,1,,,"TOP",-996,"Rise 'n Shine",7,1,0,1,0,,0,,514,0,0,0,0,1,0,,-996,
118156,16974,1,,,"BEV",-996,"COFFEE W/ CREAM & SUGAR SUBSTITUTE",5,2,0,8,0,"OZ",1,,473.6,0,0,0,0,1,0,,-996,
118156,16975,1,,,"BEV",-996,"COFFEE W/ CREAM & SUGAR SUBSTITUTE",5,2,0,8,0,"OZ",1,,473.6,0,0,0,0,1,0,,-996,
118156,16976,1,,,"BEV",-996,"COFFEE W/ CREAM & SUGAR SUBSTITUTE",5,2,0,8,0,"OZ",1,,473.6,0,0,0,0,1,0,,-996,
118156,16977,7,1,3,"TOP",-996,"GRAVY",6,1,4,,0,,0,,43,2,0,5,0,0,0,,-996,
118156,16977,5,1,3,"TOP",-996,"Sweet Kernel Corn",7,1,0,1,6,"LARGE",0,"LARGE",95,0,0,5,0,0,0,,-996,
